Duty No.,Board No.,Sign ON,Stop ON,Time ON,Time OFF,Stop OFF,Sign OFF,Paid Time,Spread Time,Service
0170,"S135
S212","10:18
14:03","STDEP PK
StinD","10:22
14:07","13:16
19:10","STDEP PK
ST","13:17
19:15",08:27,08:57,"192
25"
0170,"S135
S212","10:18
14:03","STDEP PK
StinD","10:22
14:07","13:16
19:10","STDEP PK
ST","13:17
19:15",08:27,08:57,23
0201,"S225
S215","07:54
16:16","StinK
StinC","08:00
16:20","11:00
19:37","StinK
ST","11:04
19:42",06:36,11:48,"383
197"
0201,"S225
S215","07:54
16:16","StinK
StinC","08:00
16:20","11:00
19:37","StinK
ST","11:04
19:42",06:36,11:48,322
0202,"S154A
S250P","06:12
15:21","ST
ST","06:24
15:31","09:42
18:37","ST
ST","09:43
18:42",06:52,12:30,330
0202,"S154A
S250P","06:12
15:21","ST
ST","06:24
15:31","09:42
18:37","ST
ST","09:43
18:42",06:52,12:30,"314
384"
0203,"S208
S138P","06:14
14:36","ST
ST","06:26
14:46","09:15
18:21","StinB
aa","09:19
18:33",07:02,12:19,"23
192"
0204,"S138A
S229","08:10
15:06","bb
StinK","08:19
15:10","10:47
19:34","ST
ST","10:48
19:39",07:11,11:29,"192
384"
0204,"S138A
S229","08:10
15:06","bb
StinK","08:19
15:10","10:47
19:34","ST
ST","10:48
19:39",07:11,11:29,383
0205,"S141A
S245","06:09
14:36","ST
StinR","06:21
14:40","09:21
18:32","ST
ST","09:22
18:37",07:14,12:28,"192
11"
0206,"S230
S810P","06:44
15:48","ST
ST","06:56
15:58","10:40
19:07","STDEP PK
ST","10:41
19:12",07:21,12:28,"11
330"
0207,"S243
S208","06:13
14:36","ST
StinB","06:25
14:40","10:04
17:57","STDEP PK
StinD","10:05
18:06",07:22,11:53,"11
23"
0208,"S304
S134","07:34
14:57","ST
aa","07:46
15:04","10:15
19:38","StinM
STDEP PK","10:19
19:43",07:31,12:09,"325
192"
0208,"S304
S134","07:34
14:57","ST
aa","07:46
15:04","10:15
19:38","StinM
STDEP PK","10:19
19:43",07:31,12:09,384
0209,"S235
S237","07:24
16:09","ST
STDEP PK","07:36
16:11","11:20
19:36","StinR
ST","11:24
19:41",07:32,12:17,"11
322"
0209,"S235
S237","07:24
16:09","ST
STDEP PK","07:36
16:11","11:20
19:36","StinR
ST","11:24
19:41",07:32,12:17,197
0210,"S102
S143P","06:35
16:14","ST
ST","06:47
16:24","11:18
18:53","aa
ST","11:25
18:58",07:34,12:23,"192
191"
0211,"S810A
S130P","06:14
14:16","ST
ST","06:26
14:26","09:42
18:10","ST
bb","09:43
18:22",07:35,12:08,"330
192"
0212,"S803
S224","07:42
14:51","ST
StinJ","07:54
14:55","10:21
19:39","StinL
ST","10:25
19:44",07:36,12:02,"330
327"
0212,"S803
S224","07:42
14:51","ST
StinJ","07:54
14:55","10:21
19:39","StinL
ST","10:25
19:44",07:36,12:02,11
0213,"S242
S114","07:25
14:35","ST
aa","07:37
14:42","10:00
19:28","StinR
STDEP PK","10:04
19:33",07:37,12:08,"11
192"
